loc_rowid,kepid,koi_sage
296,7373451,0.7000
297,7373451,0.7000
298,7377033,5.4000
299,7380537,0.9000
300,7434875,0.8000
301,7434875,0.8000
302,1432789,0.4000
303,1718189,0.4000
304,1718189,0.4000
305,1431122,10.4000
306,9818381,0.6900
307,3858949,0.6000
308,3858824,0.9000
309,2157247,2.2000
310,1432214,0.4000
311,2165002,7.9000
312,2165002,7.9000
313,6359320,
314,6359320,
315,5735762,9.4000
316,6359320,
317,6362874,3.9000
318,6272413,13.6000
319,8279765,3.6000
320,8435247,
321,8330548,1.2000
322,8374494,
323,8414907,13.9000
324,8414907,13.9000
325,8397446,
326,11403044,1.1000
327,11414511,9.6000
328,6721123,3.0500
329,11442465,0.8000
330,11460018,0.5000
331,11463211,0.4000
332,11465813,6.1000
333,11493732,3.1000
334,11507101,0.4000
335,11656840,1.1000
336,11754553,13.8000
337,7434875,0.8000
338,3247396,2.8000
339,7436215,0.8000
340,7455287,13.8000
341,7455287,13.8000
342,7455287,13.8000
343,7458762,1.9000
344,7552344,14.0000
345,757450,12.9000
346,7585481,0.3000
347,7663691,0.3000
348,7678434,6.2000
349,2441728,0.3000
350,1871056,3.1700
351,1871056,3.1700
352,1865042,7.5000
353,7601633,2.9400
354,2438502,13.8000
355,2309585,
356,5780460,13.8000
357,5738346,
358,1725016,
359,1722276,14.0000
360,892772,
361,1027438,2.8700
362,8351704,13.4000
363,8299955,4.2000
364,8410727,2.7300
365,8410727,2.7300
366,8349405,4.2000
367,8278371,7.0000
368,8280511,7.1000
369,8280511,7.1000
370,8280511,7.1000
371,10287248,
372,3835670,7.7000
373,11754553,13.8000
374,11754553,13.8000
375,9579641,3.1700
376,11812062,0.5000
377,11818800,8.6000
378,11853255,13.9000
379,11909839,7.2000
380,11918099,1.8000
381,11918099,1.8000
382,11923270,13.8000
383,11960862,4.1000
384,8349582,4.6000
385,7678434,6.2000
386,7685981,2.4000
387,7708215,1.9000
388,7767559,11.8000
389,7825899,5.2000
390,7825899,5.2000
391,7849854,4.0000
392,7870390,6.1000
393,7870390,6.1000
394,5728283,0.3000
395,8127639,
396,8644288,8.5000
397,6047498,0.5000
398,8125580,12.9000
399,8158127,
400,8158127,
401,8176653,0.8000
402,8174625,12.3000
403,8183911,11.6000
404,8179973,4.3300
405,2309719,6.0000
406,12020329,0.6000
407,12066335,13.8000
408,9579641,3.1700
409,12066335,13.8000
410,12070811,0.4000
411,12110942,0.3000
412,12366084,1.4000
413,12366084,1.4000
414,12404086,4.0000
415,12459725,0.4000
416,12470844,0.6000
417,7870390,6.1000
418,5094751,7.2900
419,7907423,13.9000
420,7907423,13.9000
421,7907423,13.9000
422,7938496,7.4000
423,8013419,8.2000
424,8018547,14.0000
425,8039892,0.4000
426,8150320,14.0000
427,2558363,0.8000
428,7684873,0.8900
429,8644288,8.5000
430,2716853,2.3000
431,2445154,13.0000
432,2715135,13.6000
433,2574201,13.9000
434,1996399,13.9000
435,2697169,
436,2166206,6.6000
437,2164169,2.0000
438,2574338,0.2000
439,12470844,0.6000
440,12644822,2.0000
441,9579641,3.1700
442,2440757,
443,2445129,6.1000
444,2713049,1.5000
445,3114167,0.4000
446,3114661,0.6000
447,3115833,0.3000
448,3120431,9.2000
449,3246984,8.1000
450,3342970,0.3000
451,8150320,14.0000
452,8150320,14.0000
453,5094751,7.2900
454,8150320,14.0000
455,8150320,14.0000
456,8180063,0.3000
457,8226994,13.2000
458,8226994,13.2000
459,8226994,13.2000
460,8247638,7.9000
461,8247638,7.9000
462,2584163,3.2000
463,8644288,8.5000
464,2162635,5.7000
465,5899544,
466,5963222,1.6500
467,5982353,4.0100
468,6205468,0.3000
469,6153201,
470,5802486,2.4000
471,5817553,0.3000
472,5982368,
473,5816811,0.5000
474,8506766,1.6500
475,3342970,0.3000
476,8395660,5.2000
477,3351888,11.3000
478,3453214,0.4000
479,3554600,0.4000
480,3641726,9.7000
481,3734868,12.0000
482,3832474,4.8000
483,3832474,4.8000
484,3832474,4.8000
485,3836375,0.5000
486,3838486,13.8000
487,8247638,7.9000
488,8247638,7.9000
489,11086270,7.2000
490,8255887,13.9000
491,8256049,13.9000
492,8414716,0.7000
493,8490993,0.4000
494,8490993,0.4000
495,8505670,13.9000
496,8505670,13.9000
497,8544996,0.5000
498,5816165,
499,5802246,6.8000
500,6066403,4.9000
501,6209637,
502,5988031,0.3000
503,5820218,13.9000
504,5876368,0.4000
505,5809890,14.0000
506,5809890,14.0000
507,6131236,0.3000
508,8559644,2.3000
509,5956342,0.2800
510,11913073,0.6000
511,8395660,5.2000
512,3935914,2.0000
513,3940418,12.8000
514,4049131,13.9000
515,4139816,13.9000
516,4139816,13.9000
517,4139816,13.9000
518,4139816,13.9000
519,4275191,0.6000
520,4476123,0.6000
521,8552202,0.4000
522,8605074,3.7000
523,11086270,7.2000
524,8628973,9.1000
525,8655354,1.5000
526,8672910,4.4000
527,8672910,4.4000
528,8686150,0.3000
529,8689031,0.5000
530,8689373,0.7000
531,8689373,0.7000
532,5956342,0.2800
533,5956342,0.2800
534,5956342,0.2800
535,5956656,1.0000
536,6032981,0.4085
537,5866099,13.8000
538,5964985,1.4600
539,6066416,2.0100
540,6124941,
541,8559644,2.3000
542,6060203,0.5000
543,5880320,0.4600
544,4544670,8.4000
545,8395660,5.2000
546,4664847,3.5000
547,4725681,13.7000
548,4725681,13.7000
549,4913852,13.9000
550,4932348,0.5000
551,4936180,0.2400
552,5021899,12.2000
553,5077629,0.4000
554,5115978,0.9000
555,8689373,0.7000
556,8826878,12.1000
557,11449844,3.3000
558,8883593,0.4000
559,8951215,0.3000
560,9016295,0.4000
561,9077124,0.4000
562,9097120,0.3000
563,9140402,2.1000
564,9141746,3.2000
565,9159275,0.4000
566,5880320,0.4600
567,5880320,0.4600
568,5880320,0.4600
569,6037187,4.1000
570,6147122,1.0500
571,8257407,3.3000
572,8218274,
573,8242681,0.3000
574,5130369,0.3370
575,8260218,
576,8246781,1.5000
577,8264070,
578,8222813,
579,5164255,14.0000
580,8395660,5.2000
581,5252423,13.8000
582,5252423,13.8000
583,5272878,0.4000
584,5283542,0.4000
585,5287983,0.4000
586,5358241,0.3000
587,5358241,0.3000
588,5358241,0.3000
589,5358624,0.9000
590,9166862,0.4000
591,9166870,0.3000
592,5897826,4.8000
593,9171801,
594,9334289,0.3000
595,9334289,0.3000
596,9334289,0.3000
597,9347899,0.2800
598,9347899,0.2800
599,9347899,0.2800
600,9347899,0.2800
601,9388479,13.7000
602,8222813,
603,8240904,
604,8240904,
605,8240904,
606,8244190,1.2000
607,8229696,2.6000
608,12105051,2.2000
609,8262210,
610,10272640,
611,10232123,
612,10223616,13.7000
613,10268907,
614,10166274,13.6000
615,5370302,0.4000
616,10875245,2.3000
617,5372966,3.4000
618,5376067,0.3000
619,5436502,0.5000
620,5436502,0.5000
621,5436502,0.5000
622,5436502,0.5000
623,5436502,0.5000
624,5456651,0.8000
625,5456651,0.8000
626,12365184,1.9000
627,4770365,13.9000
628,4770365,13.9000
629,4770365,13.9000
630,12406749,7.2000
631,7811397,0.5000
632,12403119,9.4000
633,9842890,
634,7512982,0.7000
635,11402995,9.1000
636,5438757,0.4000
637,5438757,0.4000
638,4860678,0.4000
639,5177104,0.2000
640,10033279,8.0000
641,5009189,7.5000
642,5357901,1.1000
643,9886661,1.6000
644,5477805,5.4000
645,10055126,1.9500
646,10055126,1.9500
647,3660924,9.0000
648,3939150,5.0000
649,3939150,5.0000
650,3839488,4.5000
651,3542588,0.4500
652,3442055,6.9000
653,3440861,13.6000
654,12252424,7.2000
655,4043190,9.9000
656,3640905,9.5000
657,6631721,2.5500
658,6866228,0.6000
659,6847018,0.3200
660,7220322,
661,6964043,
662,6956233,
663,7303287,4.7000
664,7303287,4.7000
665,6891543,7.9000
666,7211141,0.5000
667,7363829,5.2000
668,5084942,8.1000
669,6719086,
670,7512982,0.7000
671,9597806,
672,7812167,
673,11909686,0.4000
674,11760959,
675,9692345,13.7000
676,7898352,0.5000
677,7898352,0.5000
678,12062667,1.8700
679,9589323,13.8000
680,10810838,6.8000
681,9823487,6.2000
682,5009743,0.4100
683,5474733,3.0000
684,12644769,3.8000
685,10963065,6.0000
686,6268648,
687,10514429,8.7000
688,11391018,13.8000
689,4278221,1.7000
690,9015738,1.2200
691,6387969,3.1300
692,7215603,2.6500
693,4276716,9.1000
694,6468337,
695,5561278,4.9400
696,3640905,9.5000
697,4060815,4.1000
698,6613006,0.4000
699,6606653,0.3900
700,6620003,13.9000
701,6621116,13.5000
702,6629332,0.4000
703,6387450,13.8000
704,12252424,7.2000
705,6432059,0.5000
706,6470149,2.6400
707,6462874,13.9000
708,7376983,
709,7376983,
710,7376983,
711,7376983,
712,6946199,
713,6946199,
714,7102227,1.1000
715,7102227,1.1000
716,7102227,1.1000
717,8107380,5.4000
718,6960913,14.0000
719,6837146,
720,9602514,14.0000
721,9726659,
722,12108312,0.5000
723,9842906,
724,11821363,
725,7629518,2.0000
726,4828341,
727,11774387,3.0000
728,9636135,0.3000
729,8323753,5.7000
730,9636135,0.3000
731,7841925,13.8000
732,7287683,1.1400
733,11392618,2.7000
734,6233890,1.4900
735,5771719,14.0000
736,6312314,6.4000
737,6387542,
738,6543893,
739,6543893,
740,6975129,0.8200
741,8685497,2.9000
742,9017682,0.8000
743,9084778,13.9000
744,9277896,2.3800
745,9401997,0.6000
746,6665223,13.9000
747,6545358,0.2900
748,6390824,0.4000
749,6546528,0.4000
750,6677841,0.2200
751,6677841,0.2200
752,6677841,0.2200
753,9970525,1.3900
754,6531491,
755,6383821,4.7000
756,6607286,
757,6607286,
758,6936909,0.3000
759,6936909,0.3000
760,6962977,10.9000
761,6962977,10.9000
762,6962977,10.9000
763,6962977,10.9000
764,6962977,10.9000
765,7174351,0.6000
766,6851425,13.8000
767,6932987,0.5000
768,6932987,0.5000
769,6934291,2.6000
770,7841925,13.8000
771,7841925,13.8000
772,9719634,13.7000
773,7439316,13.8000
774,12061238,1.0000
775,12400538,0.4000
776,9641018,1.8000
777,9813499,0.6000
778,10748390,9.0000
779,11804465,4.0100
780,6442377,0.2900
781,5972334,3.4000
782,10357040,0.3000
783,10487119,0.5000
784,10621666,0.3000
785,10686864,
786,10747439,0.3000
787,10749128,0.2500
788,10749128,0.2500
789,10813841,
790,10879038,0.5000
791,10879656,13.9000
792,5972334,3.4000
793,10990917,3.0000
794,11043136,
795,6690082,0.9000
796,6690082,0.9000
797,6448890,4.3800
798,6448890,4.3800
